record_id,entity_id,source_address,target_parish,coord_x_lon,coord_y_lat,expected_behavior
REC_0001,1001,AVENIDA AMAZONAS N35-12 Y PEREIRA,IÑAQUITO,-78.485182,-0.180653,MATCH_PERFECT
REC_0002,1002,AV 10 DE AGOSTO Y MARIANA DE JESUS SN,MARISCAL SUCRE,-78.494112,-0.195421,MATCH_ABBREV
REC_0003,1003,CALLE GUAYAQUIL 412 Y CHILE,CENTRO HISTORICO,-78.512301,-0.220145,MATCH_TYPO
REC_0004,1004,AV 9 DE OCTUBRE Y MALECON SIMON BOLIVAR,TARQUI,-79.878912,-2.191245,MATCH_PERFECT
REC_0005,1005,AV FRANCISCO DE ORELLANA Y VICTOR HUGO SICOURET,TARQUI,-79.897412,-2.158912,MATCH_PERFECT
REC_0006,1006,AV RODRIGO DE CHAVEZ Y ALONSO DE ANGULO,CHIMBACALLE,-78.523412,-0.245612,PARISH_DISCREPANCY
REC_0007,1007,CALLE PICHINCHA 105 Y COLON,ROCAFUERTE,-79.882145,-2.195123,MATCH_PERFECT
REC_0008,1008,AV DE LA PRENSA N45-12 Y TELERANA,COTOCOLLAO,-78.492145,-0.141256,MATCH_PERFECT
REC_0009,1009,CALLE FLOREANA Y AV BRASIL,CONCEPCION,-78.491256,-0.165412,MATCH_PERFECT
REC_0010,1010,AV HUAYNA CAPAC Y GIL RAMIREZ DAVALOS,HUAYNACAPAC,-79.001245,-2.894125,MATCH_PERFECT
REC_0011,1011,DIRECCION SIN COORDENADAS REGISTRADAS,IÑAQUITO,,,NULL_COORDS
REC_0012,1012,AV FRANCISCO DE ORELLANA KM 4,TARQUI,-66.912345,10.512345,OUT_OF_BOUNDS_COUNTRY
REC_0013,1013,AV COLON Y AMAZONAS,MARISCAL SUCRE,-78.491500,-0.202300,MATCH_PERFECT
REC_0014,1014,CALLE CHILLOGALLO OE5F 685,CHILLOGALLO,-78.552100,-0.281400,MATCH_PERFECT
REC_0015,1015,AV QUITO Y ESMERALDAS,SANTO DOMINGO,-79.171200,-0.251400,MATCH_PERFECT
